OTU_IDs	Poiss_Coeff	Poiss_pval	Poiss_qval	NB_Coeff	NB_pval	NB_qval	ZINB_Coeff	ZINB_pval	ZINB_qval	mean in group Lean	mean in group Not_Lean	Lean_minus_Not_Lean_mean	ttest_pval	ttest_qval	KW_pval	KW_qval	NB_Coeff_Estimate_Error	# of 0's in Lean	# of 0's in Not_Lean	# of non-zeroes in Lean	# of non-zeroes in Not_Lean	Total count in Lean	Total count in Not_Lean	mean_otu	variance_otu	var/mean ratio	Shapiro_Wilk_Normality_pvalue	taxonomy	pois_filt_pval	pois_filt_qval	nb_filt_pval	nb_filt_qval	zinb_filt_pval	zinb_filt_qval	aic.pois	aic.nb	aic.zinb	bic.pois	bic.nb	bic.zinb	aic.filt.pois	aic.filt.nb	aic.filt.zinb	bic.filt.pois	bic.filt.nb	bic.filt.zinb	aic.nonfilt.best	bic.nonfilt.best	aic.filt.best	bic.filt.best
197326	0.31193181818064	0.000697486149310729	0.00394784388345617	0.311931818181818	0.00874393098575245	0.174651369501077	0.288751079383832	0.00299130554304254	0.0812563595274242	0.262295081967213	0.0818181818181818	0.180476900149031	0.0479335143928977	0.527403331049286	0.050541426030055	0.314025307552401	no	52	204	9	16	16	18	0.120996441281139	0.178164717844433	1.47247899159664	5.28321832049886e-31	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	1	1	NA	NA	NA	NA	218.229912392591	208.250292456059	206.44976527464	225.506621731259	219.16535646406	221.003183951975	4.00000000071106	NA	NA	11.2767093393786	NA	NA	ZINB	NB	Poisson	Poisson
177349	1.05867768595095	0.86630723135254	0.997505844537157	1.05867768595041	0.892113619392588	0.999996762100542	1.09534045186132	0.825970605716282	0.999853324140808	0.180327868852459	0.190909090909091	-0.0105812220566319	0.886112429588765	0.932465957964982	0.876207359989538	0.932357960733784	no	52	190	9	30	11	42	0.188612099644128	0.282155566853076	1.49595687331536	1.83609445007421e-29	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	1	1	NA	NA	NA	NA	309.437836888588	293.690586095615	295.475967186117	316.714546227255	304.605650103616	310.029385863452	4.00000000067218	NA	NA	11.2767093393397	NA	NA	NB	NB	Poisson	Poisson
343811	16225663.7244624	0.995962468465051	0.997505844537157	44105926.8590244	0.99740360220697	0.999996762100542	16247233.9385875	0.99755475827939	0.999853324140808	0	0.00909090909090909	-0.00909090909090909	0.157771536537237	0.527403331049286	0.455660502755294	0.768187528833386	yes	61	218	0	2	0	2	0.00711743772241993	0.00709201830198272	0.996428571428572	6.3110444314492e-35	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	1	1	NA	NA	NA	NA	26.8019215315238	28.8019974858812	30.8019374286377	34.0786308701913	39.7170614938824	45.3553561059726	4.00000000077495	NA	NA	11.2767093394424	NA	NA	Poisson	Poisson	Poisson	Poisson
988375	0.660561497326148	0.0424352162010578	0.145305321752463	0.660561497326206	0.414715384111674	0.999996762100542	0.6590866231232	0.358115315925295	0.976695094077547	0.557377049180328	0.368181818181818	0.18919523099851	0.5351252330895	0.701478717602674	0.692098782148977	0.813480427823911	no	51	189	10	31	34	81	0.409252669039146	2.17119979664464	5.30527950310559	3.12933370377363e-31	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Butyricimonas; s__	1	1	NA	NA	NA	NA	629.375269063808	388.838637302211	389.792116337007	636.651978402476	399.753701310213	404.345535014342	4.00000000066662	NA	NA	11.2767093393341	NA	NA	NB	NB	Poisson	Poisson
334040	4.62536186106517e-09	0.996739238276102	0.997505844537157	1.70157553664885e-09	0.997919192174125	0.999996762100542	4.62377657760853e-09	0.998022761796917	0.999853324140808	0.0163934426229508	0	0.0163934426229508	0.321326503293247	0.527403331049286	0.0575521401462216	0.314025307552401	yes	60	220	1	0	1	0	0.00355871886120996	0.00355871886120996	1	3.12221386969758e-35	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	1	1	NA	NA	NA	NA	14.2217477617099	16.2217602967139	18.2217876543077	21.4984571003774	27.1368243047151	32.7752063316427	4.00000000077772	NA	NA	11.2767093394452	NA	NA	Poisson	Poisson	Poisson	Poisson
188007	0.554545454530721	0.335634785695727	0.738202796890837	0.554545454545457	0.47823248029702	0.999996762100542	0.40040982621263	0.252626195279122	0.877879900095179	0.0655737704918033	0.0363636363636364	0.0292101341281669	0.586819546333707	0.739891126979388	0.955768904999939	0.969975800652112	no	59	213	2	7	4	8	0.0427046263345196	0.069598373157092	1.6297619047619	1.34739670084562e-33	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	1	1	NA	NA	NA	NA	107.793425398764	98.619415879337	100.079957173889	115.070134737431	109.534479887338	114.633375851224	4.0000000007555	NA	NA	11.276709339423	NA	NA	NB	NB	Poisson	Poisson
364824	0.881140736597563	0.111458957703565	0.318737605747053	0.881140734265735	0.6763005976091	0.999996762100542	0.881103841817197	0.676202782685375	0.999853324140808	3.40983606557377	3.00454545454545	0.405290611028316	0.745322789632818	0.846527984398929	0.22356222875875	0.687746542098518	no	28	113	33	107	208	661	3.09252669039146	59.7056939501779	19.3064441887227	1.01116441599043e-28	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__obeum	0.01753872829562	0.570217463992122	0.256934013259895	0.743973670949197	0.256935055504677	0.712976213866574	2983.0101901729	1102.30483413703	1104.30677397847	2990.28689951157	1113.21989814503	1118.8601926558	1061.17636117651	790.514597092004	792.515003707477	1068.45307051518	801.429661100006	807.068422384812	NB	NB	NB	NB
185034	1.00346320346387	0.984177153556316	0.997505844537157	1.0034632034632	0.990723251999474	0.999996762100542	1.00348674129741	0.990659691614041	0.999853324140808	0.688524590163934	0.690909090909091	-0.0023845007451565	0.990941444528923	0.992941142912672	0.995697616213816	0.997361875728902	no	41	150	20	70	42	152	0.690391459074733	2.29308591764108	3.32142857142857	1.62315513487438e-27	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.489911591397813	1	0.620725795383231	0.910261287138304	0.434197746956164	0.783635137667611	774.931715599147	624.798554111991	626.798779207978	782.208424937815	635.713618119992	641.352197885313	606.269503842733	557.360173572914	552.786385299063	613.546213181401	568.275237580915	567.339803976398	NB	NB	ZINB	ZINB
4343709	22052963.42925	0.997505844537146	0.997505844537157	59946169.7600183	0.998397750398331	0.999996762100542	22134581.3932298	0.998489684924687	0.999853324140808	0	0.00454545454545455	-0.00454545454545455	0.318414134768154	0.527403331049286	0.598494364974918	0.768187528833386	yes	61	219	0	1	0	1	0.00355871886120996	0.00355871886120996	1	3.12221386969758e-35	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	1	1	NA	NA	NA	NA	16.7872551178508	18.7872932072767	20.7873292223593	24.0639644565183	29.7023572152779	35.3407478996943	4.00000000077772	NA	NA	11.2767093394452	NA	NA	Poisson	Poisson	Poisson	Poisson
522511	6.28651854843588e-09	0.994709894154758	0.997505844537157	2.31268093052256e-09	0.996621469973394	0.999996762100542	6.27892368414773e-09	0.996793617359865	0.999853324140808	0.0327868852459016	0	0.0327868852459016	0.321326503293247	0.527403331049286	0.0575521401462216	0.314025307552401	yes	60	220	1	0	2	0	0.00711743772241993	0.0142348754448399	2	3.12221386969758e-35	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	1	1	NA	NA	NA	NA	23.0572011862641	25.0568442842923	20.4605490194076	30.3339105249316	35.9719082922935	35.0139676967426	4.00000000077772	NA	NA	11.2767093394452	NA	NA	ZINB	Poisson	Poisson	Poisson
