OTU_ID	rel_enrich	threemod	en0.1	en0.2	en0.3	en0.4	en0.5	en0.6	en0.7	en0.8	en0.9	en1	Phylum	Family	Genus	Species
OTU_20298	0.128715303	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Firmicutes	Unassigned	Unassigned	Unassigned
OTU_1057	22.21444363	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	Unassigned	Unassigned	Unassigned
OTU_17256	0.119135348	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	Unassigned	Unassigned	Unassigned	Unassigned
OTU_1120	5.844509948	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	Lachnospiraceae	Coprococcus	Unassigned
OTU_20532	2.152788013	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Actinobacteria	Corynebacteriaceae	Corynebacterium	Unassigned
OTU_10880	2.039793662	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Cyanobacteria	Nostocaceae	Unassigned	Unassigned
OTU_1885	7.521002211	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	Caulobacteraceae	Mycoplana	Unassigned
OTU_1749	8.859493982	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	Actinobacteria	Microbacteriaceae	Unassigned	Unassigned
OTU_25688	11.34561533	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Proteobacteria	Caulobacteraceae	Mycoplana	Unassigned
OTU_5301	20.61655613	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	Actinobacteria	Microbacteriaceae	Pseudoclavibacter	Unassigned
OTU_20005	1.565217391	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bacteroidetes	Bacteroidaceae	Bacteroides	Unassigned
OTU_50626	1.271432081	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	Firmicutes	Aerococcaceae	Facklamia	Unassigned
OTU_36996	1.924588553	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bacteroidetes	Prevotellaceae	Prevotella	Unassigned
OTU_38760	142.9108327	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	Cyanobacteria	Unassigned	Unassigned	Unassigned
OTU_6631	0.302628347	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bacteroidetes	Porphyromonadaceae	Dysgonomonas	Unassigned
OTU_48501	5.577499386	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Actinobacteria	Corynebacteriaceae	Corynebacterium	Unassigned
OTU_35245	3.277818718	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	Actinobacteria	Corynebacteriaceae	Corynebacterium	Unassigned
OTU_1293	5.881110292	Asthmatic	Asthmatic	NA	NA	NA	NA	NA	NA	NA	NA	NA	SR1	Unassigned	Unassigned	Unassigned
OTU_40003	2.214689266	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	NA	Firmicutes	Staphylococcaceae	Staphylococcus	Unassigned
OTU_2359	3.606730533	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	Asthmatic	NA	NA	NA	Bacteroidetes	Weeksellaceae	Unassigned	Unassigned
